"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"North Carolina","37","2018","2018",2340,10383620,22.535
"Total","North Carolina","37",,,24745,184592989,13.405
,"North Dakota","38","1999","1999",15,644259,Unreliable
,"North Dakota","38","2000","2000",16,642200,Unreliable
,"North Dakota","38","2001","2001",17,639062,Unreliable
,"North Dakota","38","2002","2002",24,638168,3.761
,"North Dakota","38","2003","2003",27,638817,4.227
,"North Dakota","38","2004","2004",21,644705,3.257
,"North Dakota","38","2005","2005",13,646089,Unreliable
,"North Dakota","38","2006","2006",16,649422,Unreliable
,"North Dakota","38","2007","2007",37,652822,5.668
,"North Dakota","38","2008","2008",48,657569,7.300
,"North Dakota","38","2009","2009",28,664968,4.211
,"North Dakota","38","2010","2010",26,672591,3.866
,"North Dakota","38","2011","2011",22,683932,3.217
,"North Dakota","38","2012","2012",27,699628,3.859
,"North Dakota","38","2013","2013",27,723393,3.732
,"North Dakota","38","2014","2014",48,739482,6.491
,"North Dakota","38","2015","2015",65,756927,8.587
,"North Dakota","38","2016","2016",86,757952,11.346
,"North Dakota","38","2017","2017",73,755393,9.664
,"North Dakota","38","2018","2018",76,760077,9.999
"Total","North Dakota","38",,,712,13667456,5.209
,"Ohio","39","1999","1999",534,11335454,4.711
,"Ohio","39","2000","2000",625,11353140,5.505
,"Ohio","39","2001","2001",808,11387404,7.096
,"Ohio","39","2002","2002",1025,11407889,8.985
,"Ohio","39","2003","2003",852,11434788,7.451
,"Ohio","39","2004","2004",1266,11452251,11.055
,"Ohio","39","2005","2005",1382,11463320,12.056
,"Ohio","39","2006","2006",1606,11481213,13.988
,"Ohio","39","2007","2007",1691,11500468,14.704
,"Ohio","39","2008","2008",1811,11515391,15.727
,"Ohio","39","2009","2009",1340,11528896,11.623
,"Ohio","39","2010","2010",1911,11536504,16.565
,"Ohio","39","2011","2011",2127,11544951,18.424
,"Ohio","39","2012","2012",2207,11544225,19.118
,"Ohio","39","2013","2013",2450,11570808,21.174
