payor_plan_id,payor_plan,payor_plan_var
7000360981,ADVANCEPCS PLAN 0981,
7000361011,ADVANCEPCS PLAN 1011,
7000361021,ADVANCEPCS PLAN 1021,
7000361042,ADVANCEPCS PLAN 1042,
7000361058,ADVANCEPCS PLAN 1058,
7000361199,ADVANCEPCS PLAN 1199,
13670539,ADVANCING ACCESS COPAY/GILEAD,
13670389,ADVANCING ACCESS/GILEAD,
1600003,ADVANTAGE 65 (LA),
5190013,ADVANTAGE CHOICE (IN),
5190011,ADVANTAGE ELITE (IN),
5190002,ADVANTAGE ENHD (IN),
5190008,ADVANTAGE ENHD PLUS (IN),
9630001,ADVANTAGE HEALTHPLAN (MD),
5190001,ADVANTAGE HEALTH SOLUTIONS (IN),
15290006,ADVANTAGE MED ADV GENERAL (FL),
6630015,ADVANTAGE MED ADV GENERAL (OH),
5190009,ADVANTAGE MED ADV GNRL (IN),
6630013,ADVANTAGE MED D GENERAL (OH),
5190005,ADVANTAGE NTWK (IN),
39840001,ADVANTAGE SALES & MARKETING,
5190010,ADVANTAGE SELECT (IN),
5190012,ADVANTAGE SNP (IN),
19180111,ADVANTAGE STAR MED PDP GENERAL,
19180028,ADVANTAGE STAR (MI),
4560236,ADVANTRA/COVENTRY MED D GNRL,
4560725,ADVANTRA/COVENTRY MED D GNRL(AK),
4560471,ADVANTRA/COVENTRY MED D GNRL(AL),
4560480,ADVANTRA/COVENTRY MED D GNRL(AR),
4560479,ADVANTRA/COVENTRY MED D GNRL(AZ),
4560724,ADVANTRA/COVENTRY MED D GNRL(CA),
4560478,ADVANTRA/COVENTRY MED D GNRL(CO),
4560726,ADVANTRA/COVENTRY MED D GNRL(CT),
4560477,ADVANTRA/COVENTRY MED D GNRL(DC),
4560476,ADVANTRA/COVENTRY MED D GNRL(DE),
4560723,ADVANTRA/COVENTRY MED D GNRL(FL),
4560484,ADVANTRA/COVENTRY MED D GNRL(GA),
4560727,ADVANTRA/COVENTRY MED D GNRL(HI),
4560483,ADVANTRA/COVENTRY MED D GNRL(IA),
4560728,ADVANTRA/COVENTRY MED D GNRL(ID),
4560487,ADVANTRA/COVENTRY MED D GNRL(IL),
4560475,ADVANTRA/COVENTRY MED D GNRL(IN),
4560485,ADVANTRA/COVENTRY MED D GNRL(KS),
4560474,ADVANTRA/COVENTRY MED D GNRL(KY),
4560464,ADVANTRA/COVENTRY MED D GNRL(LA),
4560472,ADVANTRA/COVENTRY MED D GNRL(MA),
4560481,ADVANTRA/COVENTRY MED D GNRL(MD),
4560729,ADVANTRA/COVENTRY MED D GNRL(ME),
